author;date;genre;wikipedia;title;img;Musee;Type
Paul Klee;1879 – 1940;Expressionism;https://en.wikipedia.org/wiki/Paul_Klee;Hilterfingen;https://upload.wikimedia.org/wikipedia/commons/e/e9/GUGG_Hilterfingen.jpg;Solomon R. Guggenheim Museum;Tableau
Paul Klee;1879 – 1940;Expressionism;https://en.wikipedia.org/wiki/Paul_Klee;Jungfrau im Baum;https://upload.wikimedia.org/wikipedia/commons/e/ec/Paul_Klee%2C_Inventionen_Nr._3%2C_Jungfrau_im_Baum_%281903%29.jpg;Museum of Modern Art;Tableau
Claude Monet;1840 - 1926;Impressionism;http://en.wikipedia.org/wiki/Claude_Monet;View at Rouelles Le Havre;https://upload.wikimedia.org/wikipedia/commons/4/44/Monet%2C_Claude_-_View_At_Rouelles%2C_Le_Havre_%281858%29.jpg;Courbet;Tableau
Claude Monet;1840 - 1926;Impressionism;http://en.wikipedia.org/wiki/Claude_Monet;Mouth of the Seine at Honfleur;https://upload.wikimedia.org/wikipedia/commons/4/42/Claude_Monet_-_Mouth_of_the_Seine.jpg;Norton Simon Foundation;Tableau
Claude Monet;1840 - 1926;Impressionism;http://en.wikipedia.org/wiki/Claude_Monet;On the Bank of the Seine Bennecourt;https://upload.wikimedia.org/wikipedia/commons/f/f8/Claude_Monet_-_On_the_Bank_of_the_Seine%2C_Bennecourt_-_1922.427_-_Art_Institute_of_Chicago.jpg;Art Institute of Chicago;Tableau
Claude Monet;1840 - 1926;Impressionism;http://en.wikipedia.org/wiki/Claude_Monet;The MagpieSnow at Argenteuil;https://upload.wikimedia.org/wikipedia/commons/7/78/Claude_Monet_-_The_Magpie_-_Google_Art_Project.jpg;;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Gustave Moreau's Studio;https://upload.wikimedia.org/wikipedia/en/b/b0/Matisse_the_study_of_moreau.jpg;;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Blue Pot and Lemon;https://upload.wikimedia.org/wikipedia/en/8/8d/Matisse_-_Blue_Pot_and_Lemon_%281897%29.jpg;Hermitage Museum;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Le Mur Rose;https://upload.wikimedia.org/wikipedia/en/f/f8/Matisse_Mur_Rose.jpg;Jewish Museum Frankfurt;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Fruit and Coffeepot;https://upload.wikimedia.org/wikipedia/en/2/22/Matisse_-_Fruit_and_Coffeepot_%281898%29.jpg;Hermitage Museum;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Vase of Sunflowers;https://upload.wikimedia.org/wikipedia/en/2/2f/Matisse_-_Vase_of_Sunflowers_%281898%29.jpg;Hermitage Museum;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Still Life with Compote Apples and Oranges;https://upload.wikimedia.org/wikipedia/en/5/50/Henri_Matisse%2C_1899%2C_Still_Life_with_Compote%2C_Apples_and_Oranges%2C_oil_on_canvas%2C_46.4_x_55.6_cm%2C_The_Cone_Collection%2C_Baltimore_Museum_of_Art.jpg;The Cone Collection;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Crockery on a Table;https://upload.wikimedia.org/wikipedia/en/b/b1/Matisse_-_Crockery_on_a_Table_%281900%29.jpg;Hermitage Museum;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Luxembourg Gardens;https://upload.wikimedia.org/wikipedia/en/b/bf/Matisse_-_Luxembourg_Gardens_%281901%29.jpg;Hermitage Museum;Tableau
Henri Matisse;1869 - 1954;Impressionism;http://en.wikipedia.org/wiki/Henri_Matisse;Dishes and Fruit;https://upload.wikimedia.org/wikipedia/en/4/47/Matisse_-_Dishes_and_Fruit_%281901%29.jpg;Hermitage Museum;Tableau
Camille Pissarro;1830 - 1903;Impressionism;https://en.wikipedia.org/wiki/Camille_Pissarro;Boulevard Montmartre: Mardi Gras;https://upload.wikimedia.org/wikipedia/commons/4/40/Boulevard_Montmartre-_Mardi_Gras_%28frameless%29.jpg;Hammer Museum;Tableau
Camille Pissarro;1830 - 1903;Impressionism;https://en.wikipedia.org/wiki/Camille_Pissarro;Boulevard Montmartre morning cloudy weather;https://upload.wikimedia.org/wikipedia/commons/7/79/Camille_Pissarro_-_Boulevard_Montmartre%2C_morning%2C_cloudy_weather_-_Google_Art_Project.jpg;National Gallery of Victoria;Tableau
Camille Pissarro;1830 - 1903;Impressionism;https://en.wikipedia.org/wiki/Camille_Pissarro;The Boulevard Montmartre on a Winter Morning;https://upload.wikimedia.org/wikipedia/commons/1/1f/The_Boulevard_Montmartre_on_a_Winter_Morning.JPG;Metropolitan Museum of Art;Tableau
Camille Pissarro;1830 - 1903;Impressionism;https://en.wikipedia.org/wiki/Camille_Pissarro;The Boulevard Montmartre at Night;https://upload.wikimedia.org/wikipedia/commons/1/14/Camille_Pissarro_-_Boulevard_Montmartre_at_Night_-_c_1897_-_National_Gallery_UK.jpg;National Gallery;Tableau
Camille Pissarro;1830 - 1903;Impressionism;https://en.wikipedia.org/wiki/Camille_Pissarro;A Plaza in Caracas;https://upload.wikimedia.org/wikipedia/commons/1/1a/Camille_Pissarro_-_A_Plaza_in_Caracas.jpg;Colección Patricia Phelps de Cisneros;Tableau
Camille Pissarro;1830 - 1903;Impressionism;https://en.wikipedia.org/wiki/Camille_Pissarro;Allée dans une forêt;https://upload.wikimedia.org/wikipedia/commons/b/b6/Camille_Pissarro_-_All%C3%A9e_dans_une_f%C3%B4ret_%28sur_1859%29.jpg;;Tableau
Andy Warhol;1928 – 1987;Pop Art;https://en.wikipedia.org/wiki/Andy_Warhol;I. Miller Shoes;https://upload.wikimedia.org/wikipedia/commons/6/6c/New_York_Times_Advertisement_-_April_17th%2C_1955_for_I._Miller_Shoes%2C_Illustration_Andy_Warhol.jpg;;Serigraphie
Andy Warhol;1928 – 1987;Pop Art;https://en.wikipedia.org/wiki/Andy_Warhol;Exploding Plastic Inevitable' (show) - the Velvet Underground & Nico;https://upload.wikimedia.org/wikipedia/commons/3/31/Exploding_Plastic_Inevitable.png;;Serigraphie
Andy Warhol;1928 – 1987;Pop Art;https://en.wikipedia.org/wiki/Andy_Warhol;Portrait of Mao Zedong;https://upload.wikimedia.org/wikipedia/commons/3/36/Salle_Andy_Warhol_%28Hamburger_Bahnhof%2C_Berlin%29_%286343757828%29.jpg;;Serigraphie
Andy Warhol;1928 – 1987;Pop Art;https://en.wikipedia.org/wiki/Andy_Warhol;BMW Group - 4 M1;https://upload.wikimedia.org/wikipedia/commons/5/56/Warhol7.JPG;;Serigraphie
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Worn Out;https://upload.wikimedia.org/wikipedia/commons/a/aa/Vincent_van_Gogh_-_Worn_Out_%28F997%29.jpg;;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Still Life with Open Bible;https://upload.wikimedia.org/wikipedia/commons/c/c3/Stilleven_met_bijbel_-_s0008V1962_-_Van_Gogh_Museum.jpg;;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Skull of a Skeleton with Burning Cigarette;https://upload.wikimedia.org/wikipedia/commons/8/87/Vincent_van_Gogh_-_Head_of_a_skeleton_with_a_burning_cigarette_-_Google_Art_Project.jpg;;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Peasant Woman DiggingWoman with a Spade;https://upload.wikimedia.org/wikipedia/commons/6/6e/Vincent_van_Gogh_-_Peasant_woman_digging.jpg;Art Gallery of Ontario;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Le Moulin de Blute-FinLe Moulin de la GaletteMontmartre;https://upload.wikimedia.org/wikipedia/commons/0/05/Vincent_van_Gogh_-_Windmills_on_Montmartre_-_Google_Art_Project.jpg;Bridgestone Museum of Art;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Courtesan;https://upload.wikimedia.org/wikipedia/commons/a/af/Van_Gogh_-_la_courtisane.jpg;Eisen;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;The Sower with Setting Sun;https://upload.wikimedia.org/wikipedia/commons/4/4d/De_zaaier_-_s0029V1962_-_Van_Gogh_Museum.jpg;;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Fishing Boats on the Beach at Saintes-Maries;https://upload.wikimedia.org/wikipedia/commons/b/bb/Vissersboten_op_het_strand_van_Les_Saintes-Maries-de-la-Mer_-_s0028V1962_-_Van_Gogh_Museum.jpg;;Tableau
Vincent van Gogh;1853 – 1890;Post-Impressionism;http://en.wikipedia.org/wiki/Vincent_van_Gogh;Bedroom in Arles;https://upload.wikimedia.org/wikipedia/commons/7/76/Vincent_van_Gogh_-_De_slaapkamer_-_Google_Art_Project.jpg;;Tableau
