titre;type;mouvement;auteur;musee;startdate;endate;;;
"Exposition Hélène Berr ""Une Vie confisquée""";;Histoire;;Médiathèque Hélène Berr;2021-10-26T13:00:00+02:00;2021-11-27T18:00:00+01:00;;;
Carte blanche à William Amor: les créations messagères;;Design;;Musée Cognacq-Jay;2021-09-09T10:00:00+02:00;2021-09-19T18:00:00+02:00;;;
Expositions temporaires: La voix des témoins;;Histoire;;Mémorial de la Shoah;2020-01-26T10:00:00+01:00;2021-08-29T17:30:00+02:00;;;
Fake News - Art: fiction: mensonge;Tableau;Art Contemporain;;Espace Fondation EDF;2021-05-27T12:00:00+02:00;2022-01-30T19:00:00+01:00;;;
Antarctique: réserve naturelle dédiée à la paix;Photographie;contemporain;;Plusieurs lieux dans Paris;2021-06-23T00:00:00+02:00;2021-08-31T00:00:00+02:00;;;
Statues de Paris: votre musée !;Sculpture;Autre expo;;Grilles du Square de la Tour Saint-Jacques;2021-08-24T00:00:00+02:00;2021-09-20T00:00:00+02:00;;;
Marc Riboud. Histoires possibles;Photographie;contemporain;;Musée des arts asiatiques Guimet;2021-05-19T10:00:00+02:00;2021-09-06T18:00:00+02:00;;;
Bretagne :: François Avril;Tableau;Art Contemporain;;Huberty & Breyne;2021-06-18T11:00:00+02:00;2021-08-28T19:00:00+02:00;;;
"Exposition ""L'oiseau sur la branche""";;Illustration;;Bibliothèque Jeunesse Diderot;2021-10-08T15:30:00+02:00;2021-11-06T18:00:00+01:00;;;
Yvette de la Frémondière;Tableau;Art Contemporain;;Bibliothèque Forney;2021-06-15T13:00:00+02:00;2021-09-25T19:00:00+02:00;;;
Détours de France vol.3;;Illustration;;Artazart;2021-07-01T10:30:00+02:00;2021-08-31T19:30:00+02:00;;;
Exposition photo du jardin des Thermopyles;Photographie;contemporain;;Place de la garenne;2021-07-02T07:00:00+02:00;2021-09-18T23:30:00+02:00;;;
Minhwa « Chaekgeori... de la beauté des livres »;Tableau;Art Contemporain;;Centre Culturel Coréen;2021-06-17T10:00:00+02:00;2021-09-10T18:00:00+02:00;;;
Accrochage Pauline Viardot 06 juillet 2021- 4 septembre 2022;Tableau;Post-Impressionism;Henri Matisse;Musée de la Vie romantique: Hôtel Scheffer-Renan;2021-07-06T10:00:00+02:00;2022-09-04T18:00:00+02:00;;;
Exposition Collective_Festival (((INTERFERENCE_S)));Tableau;Art Contemporain;;Galerie du Centre Wallonie-Bruxelles;2021-07-07T10:00:00+02:00;2021-08-29T18:00:00+02:00;;;
Expo perchée à Paris Montparnasse : PARIS 1000 FACETTES !;;Autre expo;;Observatoire Paris Montparnasse top of the city;2021-06-09T12:00:00+02:00;2021-08-31T21:30:00+02:00;;;
FORMES DE L'INVISIBLE - EXPOSITION DE DANIELA CAPACCIOLI;;Autre expo;;Parc Floral de Paris;2021-05-31T09:30:00+02:00;2021-10-01T20:00:00+02:00;;;
FOR EVER PLAY;Tableau;Art Contemporain;;Musée en herbe;2021-05-19T10:00:00+02:00;2021-12-31T19:00:00+01:00;;;
Dans les têtes de Stéphane Blanquet;;Illustration;;La Halle Saint Pierre;2021-05-19T11:00:00+02:00;2022-01-02T18:00:00+01:00;;;
"Exposition photographique ""Il était une fois le confinement""";Photographie;contemporain;;Résidence du Pressoir;2021-06-25T00:00:00+02:00;2021-09-25T23:59:00+02:00;;;
MORIYAMA – TOMATSU;Photographie;contemporain;;Maison Européenne de la Photographie;2021-05-19T11:00:00+02:00;2021-08-29T20:00:00+02:00;;;
Boîte à dons : lancement d'un appel à projets artistiques;;Street-art;;Square Georges Sarre (ex square Jean Aicard);2021-04-01T08:00:00+02:00;2021-11-01T00:00:00+01:00;;;
