author;date;genre;title;museum;type;imgURL
Camille Pissarro;1830 - 1903;Impressionism;The Boulevard Montmartre on a Winter Morning;Metropolitan Museum of Art;Tableau;https://upload.wikimedia.org/wikipedia/commons/1/1f/The_Boulevard_Montmartre_on_a_Winter_Morning.JPG
Camille Pissarro;1830 - 1903;Impressionism;Le Boulevard de Montmartre, Matinðe de Printemps;;Tableau;https://upload.wikimedia.org/wikipedia/commons/f/ff/Camille_Pissarro_-_Boulevard_Montmartre%2C_Spring_-_Google_Art_Project.jpg
Camille Pissarro;1830 - 1903;Impressionism;The Boulevard Montmartre at Night;National Gallery;Tableau;https://upload.wikimedia.org/wikipedia/commons/1/14/Camille_Pissarro_-_Boulevard_Montmartre_at_Night_-_c_1897_-_National_Gallery_UK.jpg
Camille Pissarro;1830 - 1903;Impressionism;A Plaza in Caracas;Colecciðn Patricia Phelps de Cisneros;Tableau;https://upload.wikimedia.org/wikipedia/commons/1/1a/Camille_Pissarro_-_A_Plaza_in_Caracas.jpg
Camille Pissarro;1830 - 1903;Impressionism;Allðe dans une forðt;;Tableau;https://upload.wikimedia.org/wikipedia/commons/b/b6/Camille_Pissarro_-_All%C3%A9e_dans_une_f%C3%B4ret_%28sur_1859%29.jpg
Camille Pissarro;1830 - 1903;Impressionism;Working at Bðrelles;;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/48/LE_LABOURAGE%2C_B%C3%89RELLES.PNG
Camille Pissarro;1830 - 1903;Impressionism;Chðtaignier ð Louveciennes;Musðe d'Orsay;Tableau;https://upload.wikimedia.org/wikipedia/commons/b/b8/Camille_Pissarro_-_Ch%C3%A2taigniers_%C3%A0_Louveciennes_-_1879.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/5/57/Domenikos_Theotokopoulos%2C_El_Greco_-_The_Annunciation_-_Google_Art_Project.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/3/3f/GRECO_Caridad.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/d/d1/La_Inmaculada_Concepci%C3%B3n%2C_de_El_Greco_y_su_hijo_%28Museo_Thyssen-Bornemisza%29.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/d/d8/El_Greco_%28Domenikos_Theotokopoulos%29%2C_Christ_Cleansing_the_Temple%2C_probably_before_1570%2C_NGA_43723.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/e/e3/El_Greco_-_Christ_Healing_the_Blind_-_WGA10420.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/0/01/El_Greco_-_Christ_as_Saviour_-_Google_Art_Project.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/2/23/El_Greco_%28Domenikos_Theotokopoulos%29_-_Laoco%C3%B6n_-_Google_Art_Project.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/40/El_Greco_Nobleman_self-portrait.JPG
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/5/5e/El_Greco_-_The_Stigmatization_of_St_Francis_-_WGA10562.jpg
El Greco;1541 - 1614;Mannerism;;;Tableau;https://upload.wikimedia.org/wikipedia/commons/6/63/El_Greco_%28Dom%C3%A9nikos_Theotok%C3%B3poulos%29_-_Saint_Jerome_-_A73_-_Hispanic_Society_of_America.jpg
Andy Warhol;1928 ð 1987;Pop Art;I. Miller Shoes;;Serigraphie;https://upload.wikimedia.org/wikipedia/commons/6/6c/New_York_Times_Advertisement_-_April_17th%2C_1955_for_I._Miller_Shoes%2C_Illustration_Andy_Warhol.jpg
Andy Warhol;1928 ð 1987;Pop Art;Exploding Plastic Inevitable' (show) - the Velvet Underground & Nico;;Serigraphie;https://upload.wikimedia.org/wikipedia/commons/3/31/Exploding_Plastic_Inevitable.png
Andy Warhol;1928 ð 1987;Pop Art;The Souper Dress;Campbell's Soup Cans;Serigraphie;https://upload.wikimedia.org/wikipedia/commons/b/bc/The_Souper_Dress%2C_American_paper_dress%2C_1967.jpg
Andy Warhol;1928 ð 1987;Pop Art;Portrait of Mao Zedong;;Serigraphie;https://upload.wikimedia.org/wikipedia/commons/3/36/Salle_Andy_Warhol_%28Hamburger_Bahnhof%2C_Berlin%29_%286343757828%29.jpg
Andy Warhol;1928 ð 1987;Pop Art;;Farah Pahlavi;Serigraphie;https://upload.wikimedia.org/wikipedia/commons/d/dc/Farah_Pahlavi_and_Andy_Warhol_in_Tehran_Museum_of_Contemporary_Art%2C_1977.jpg
Andy Warhol;1928 ð 1987;Pop Art;BMW Group - 4 M1;;Serigraphie;https://upload.wikimedia.org/wikipedia/commons/5/56/Warhol7.JPG
